1325260345,43870,36
1325260432,61340,36
1325260538,61340,36
1325260562,61341,10
1325260634,43870,36
1325260650,30705,17
1325260829,30708,17
1325261320,30713,17
1325261460,30708,17
1325261474,15320,40
1325261689,61335,12
1325261708,61335,12
1325261797,30713,17
1325261986,30708,17
1325262541,30708,17
1325262778,30708,17
1325262980,30707,11
1325263079,30713,11
1325263136,30708,17
1325263224,15322,36
1325263266,15328,36
1325263277,30705,17
1325263440,30708,17
1325263553,30713,17
1325263563,30708,17
1325263581,15322,36
1325263769,30713,17
1325263901,15322,36
1325263916,30708,17
1325264002,30713,17
1325264078,30708,17
1325264084,30713,17
1325264877,30705,17
1325264985,30713,17
1325265227,30705,17
1325265324,61336,61
1325265350,30713,17
1325265392,61336,61
1325265432,61336,61
1325265707,30713,17
1325265875,30713,17
1325266139,30713,17
1325266158,30705,17
1325266302,30713,17
1325266443,30713,17
1325266566,43876,36
1325267276,30708,17
1325267410,61336,61
1325267428,30707,17
1325267435,30708,17
1325267438,61336,61
1325267475,61336,61
1325267499,61336,61
1325267529,61336,61
1325267570,61336,61
1325268695,30713,17
1325268761,30708,17
1325268913,30713,17
1325269095,30713,17
1325269128,30708,17
1325269561,30708,11
1325269648,30708,11
1325269822,30713,11
1325270098,61338,10
1325270121,30713,17
1325270144,61338,10
1325270186,61338,10
1325270205,30713,17
1325270222,61338,10
1325270303,61338,10
1325270307,30713,17
1325270368,30711,11
1325270438,61338,10
1325270447,30713,17
1325270492,30711,11
1325270633,30711,17
1325270758,61338,10
1325270851,30713,17
1325270962,30708,17
1325271033,30713,17
1325271385,30713,17
1325271544,30713,17
1325271677,30713,17
1325271854,30713,17
1325272608,30713,11
1325272649,30708,17
1325273319,30713,17
1325274011,30713,17
1325274350,30713,17
1325274797,30711,46
1325274888,30713,17
1325275143,30713,17
1325275281,61339,28
1325275293,30713,17
1325275304,61339,28
1325275407,30713,17
1325275962,30713,17
1325276061,30713,17
1325276858,30713,17
1325277036,30713,17
1325277208,30713,17
1325277727,30705,11
1325278637,30713,17
1325279335,61336,19
1325279388,30708,17
1325279496,30713,17
1325279570,30713,17
1325279652,30713,17
1325279749,30713,17
1325279878,30713,17
1325279952,30713,17
1325280034,30713,17
1325280137,30708,17
1325280211,61336,28
1325280231,61336,28
1325280267,30708,17
